"","state","year","SuicideMean","PovertyPercentage","mentalHealthMean","SZscore","PZscore","MZscore"
"142","Minnesota",2014,12.2,8.3,2.9,-0.607471773177223,-1.56635110556626,-1.66905880788799
"143","Minnesota",2015,13.2,7.8,3,-0.373357966386001,-1.71193868782228,-1.47727060089824
"144","Minnesota",2016,13.2,8.7,3.2,-0.373357966386001,-1.44988103976144,-1.09369418691872
"145","Mississippi",2011,13.1,17.4,4.4,-0.396769347065123,1.08334289149334,1.20776429695838
"146","Mississippi",2012,14,22,4.4,-0.186066920953023,2.42274864824874,1.20776429695838
"147","Mississippi",2013,13,22.5,4.4,-0.420180727744245,2.56833623050476,1.20776429695838
"148","Mississippi",2014,12.5,22.1,4.3,-0.537237631139856,2.45186616469994,1.01597608996862
"149","Mississippi",2015,14,19.1,4.5,-0.186066920953023,1.57834067116381,1.39955250394814
"150","Mississippi",2016,12.7,21.1,4.4,-0.490414869781612,2.1606910001879,1.20776429695838
"151","Missouri",2011,15.3,15.4,4.1,0.118281027875565,0.500992562469252,0.632399675989104
"152","Missouri",2012,14.9,15.2,4.1,0.0246355051590762,0.442757529566842,0.632399675989104
"153","Missouri",2013,15.6,13.7,3.8,0.188515169912931,0.00599478279877709,0.0570350550198299
"154","Missouri",2014,16.3,10.4,3.7,0.352394834666787,-0.954883260090966,-0.134753151969928
"155","Missouri",2015,17.1,9.8,4.1,0.539685880099764,-1.12958835879819,0.632399675989104
"156","Missouri",2016,18.4,13,4.3,0.844033828928352,-0.197827832359653,1.01597608996862
"157","Montana",2011,22.5,16.5,3.6,1.80390043677236,0.821285243432499,-0.326541358959686
"158","Montana",2012,22.6,13.4,3.8,1.82731181745148,-0.0813577665548357,0.0570350550198299
"159","Montana",2013,23.7,14.5,3.4,2.08483700492183,0.238934914408412,-0.710117772939203
"160","Montana",2014,23.9,12,3.4,2.13165976628007,-0.489002996871697,-0.710117772939203
"161","Montana",2015,25.3,11.9,3.5,2.45941909578778,-0.518120513322901,-0.518329565949444
"162","Montana",2016,25.9,11.7,3.5,2.59988737986252,-0.57635554622531,-0.518329565949444
"163","Nebraska",2011,10.5,10.2,3.1,-1.0054652447223,-1.01311829299338,-1.28548239390848
"164","Nebraska",2012,12.5,12.2,3.1,-0.537237631139856,-0.430767963969288,-1.28548239390848
"165","Nebraska",2013,11.6,11,3,-0.747940057251956,-0.78017816138374,-1.47727060089824
"166","Nebraska",2014,13.4,11.8,2.8,-0.326535205027756,-0.547238029774105,-1.86084701487775
"167","Nebraska",2015,11.7,10.3,2.9,-0.724528676572834,-0.984000776542171,-1.66905880788799
"168","Nebraska",2016,13.1,9.6,3.2,-0.396769347065123,-1.1878233917006,-1.09369418691872
"169","Nevada",2011,18.4,15.5,3.9,0.844033828928352,0.530110078920456,0.248823262009588
"170","Nevada",2012,18.2,15.8,4.1,0.797211067570108,0.617462628274069,0.632399675989104
"171","Nevada",2013,18.6,17.4,3.7,0.890856590286597,1.08334289149334,-0.134753151969928
"172","Nevada",2014,19.6,17,3.4,1.12497039707782,0.966872825688521,-0.710117772939203
"173","Nevada",2015,18.4,13,3.9,0.844033828928352,-0.197827832359653,0.248823262009588
"174","Nevada",2016,21.4,10.1,4.5,1.54637524930202,-1.04223580944458,1.39955250394814
"175","New Hampshire",2011,13.8,7.6,4.2,-0.232889682311268,-1.77017372072469,0.824187882978863
"176","New Hampshire",2012,14.1,8.1,3.9,-0.162655540273901,-1.62458613846867,0.248823262009588
"177","New Hampshire",2013,12.8,9,3.6,-0.467003489102489,-1.36252849040783,-0.326541358959686
"178","New Hampshire",2014,17.8,7.2,3.6,0.703565544853619,-1.88664378652951,-0.326541358959686
"179","New Hampshire",2015,16.5,7.3,3.6,0.399217596025031,-1.8575262700783,-0.326541358959686
"180","New Hampshire",2016,17.2,6.4,4.2,0.563097260778886,-2.11958391813914,0.824187882978863
"181","New Jersey",2011,7.5,11.4,3.4,-1.70780666509597,-0.663708095578923,-0.710117772939203
"182","New Jersey",2012,7.4,9.3,3.3,-1.73121804577509,-1.27517594105421,-0.901905979928961
"183","New Jersey",2013,8,11.1,3.3,-1.59074976170035,-0.751060644932536,-0.901905979928961
"184","New Jersey",2014,8.3,11.3,3.4,-1.52051561966299,-0.692825612030127,-0.710117772939203
"185","New Jersey",2015,8.3,11.2,3.4,-1.52051561966299,-0.721943128481332,-0.710117772939203
"186","New Jersey",2016,7.2,9.4,3.4,-1.77804080713333,-1.24605842460301,-0.710117772939203
"187","New Mexico",2011,20.3,22.2,4,1.28885006183167,2.48098368115115,0.440611468999347
"188","New Mexico",2012,21.3,20.4,4.1,1.5229638686229,1.95686838502947,0.632399675989104
"189","New Mexico",2013,20.3,21.7,3.7,1.28885006183167,2.33539609889513,-0.134753151969928
"190","New Mexico",2014,21,20,4,1.45272972658553,1.84039831922465,0.440611468999347
"191","New Mexico",2015,23.7,19.7,3.7,2.08483700492183,1.75304576987104,-0.134753151969928
"192","New Mexico",2016,22.5,17.8,4,1.80390043677236,1.19981295729816,0.440611468999347
"193","New York",2011,8.2,16,3.7,-1.54392700034211,0.675697661176478,-0.134753151969928
"194","New York",2012,8.3,17.2,4.1,-1.52051561966299,1.02510785859093,0.632399675989104
